,City,Country,Date,Lat,Lng,Humidity,Cloudiness,Max Temp,Wind Speed
115,mamallapuram,IN,2020-05-15,12.63,80.17,63,40,307.15,2.6
116,kalmunai,LK,2020-05-15,7.42,81.82,60,92,305.37,2.3
117,new norfolk,AU,2020-05-15,-42.78,147.06,81,62,289.26,0.45
118,vaini,TO,2020-05-15,-21.2,-175.2,73,20,298.15,3.1
119,nanortalik,GL,2020-05-15,60.14,-45.24,81,100,277.84,1.68
120,san cristobal,VE,2020-05-15,7.77,-72.22,89,100,292.35,1.05
121,westport,US,2020-05-15,41.14,-73.36,76,75,287.15,2.1
122,sibolga,ID,2020-05-15,1.74,98.78,58,45,304.8,2.24
123,sioux lookout,CA,2020-05-15,50.1,-91.92,93,90,281.15,1.5
124,thiadiaye,SN,2020-05-15,14.42,-16.71,88,0,293.15,6.7
125,honningsvag,NO,2020-05-15,70.98,25.97,80,75,275.15,4.1
126,hermanus,ZA,2020-05-15,-34.42,19.23,93,20,287.04,0.89
127,hohhot,CN,2020-05-15,40.81,111.65,15,20,301.15,7.0
128,vaitape,PF,2020-05-15,-16.52,-151.75,72,12,301.34,4.13
129,chuy,UY,2020-05-15,-33.7,-53.46,83,12,279.61,2.6
130,harper,LR,2020-05-15,4.38,-7.72,86,23,299.62,1.47
131,pervomayskoye,RU,2020-05-15,43.92,46.71,42,54,292.36,2.25
132,yar-sale,RU,2020-05-15,66.83,70.83,80,100,277.63,8.05
133,port macquarie,AU,2020-05-15,-31.43,152.92,67,56,292.04,1.34
134,dunkirk,FR,2020-05-15,51.05,2.37,80,75,278.71,0.5
135,saint-pierre,RE,2020-05-15,-21.34,55.48,47,9,300.15,1.0
136,tasiilaq,GL,2020-05-15,65.61,-37.64,92,25,271.15,1.0
137,calabozo,VE,2020-05-15,8.92,-67.43,80,97,299.19,1.46
138,dingzhou,CN,2020-05-15,38.51,115.0,69,12,297.15,4.0
139,ukiah,US,2020-05-15,39.15,-123.21,76,20,286.15,1.44
140,palo alto,US,2020-05-15,37.44,-122.14,87,90,289.26,2.6
141,arman,RU,2020-05-15,59.7,150.17,66,43,279.75,2.9
142,namanyere,TZ,2020-05-15,-7.52,31.05,79,1,291.83,3.06
143,okato,NZ,2020-05-15,-39.2,173.88,73,100,286.48,1.79
144,soderhamn,SE,2020-05-15,61.3,17.06,78,58,277.04,2.79
145,sumbe,AO,2020-05-15,-11.21,13.84,83,26,298.06,1.58
146,krasnoselkup,RU,2020-05-15,65.7,82.47,47,94,283.29,6.12
147,kondinskoye,RU,2020-05-15,59.65,67.41,87,100,285.69,5.63
148,mokobeng,BW,2020-05-15,-23.0,27.67,79,0,287.05,2.64
149,airai,TL,2020-05-15,-8.93,125.41,95,59,293.72,1.81
150,hualmay,PE,2020-05-15,-11.1,-77.61,86,66,292.15,3.61
151,ugoofaaru,MV,2020-05-15,5.67,73.0,77,79,302.34,8.57
152,sedro-woolley,US,2020-05-15,48.5,-122.24,87,40,283.15,1.01
153,urucara,BR,2020-05-15,-2.54,-57.76,96,98,296.33,0.43
154,zwedru,LR,2020-05-15,6.07,-8.13,98,97,296.14,0.64
155,batticaloa,LK,2020-05-15,7.71,81.69,64,66,305.12,3.19
156,port elizabeth,ZA,2020-05-15,-33.92,25.57,87,28,287.15,3.6
157,russell,US,2020-05-15,32.35,-85.2,72,1,295.15,2.1
158,port lincoln,AU,2020-05-15,-34.73,135.87,51,0,288.34,3.1
159,koslan,RU,2020-05-15,63.46,48.9,73,93,279.46,3.0
160,alofi,NU,2020-05-15,-19.06,-169.92,94,16,298.15,1.5
161,shingu,JP,2020-05-15,33.73,135.98,60,75,295.15,6.7
162,saldanha,ZA,2020-05-15,-33.01,17.94,87,19,284.15,1.5
163,nuuk,GL,2020-05-15,64.18,-51.72,87,64,273.15,1.5
164,richards bay,ZA,2020-05-15,-28.78,32.04,69,0,290.68,3.89
165,launceston,AU,2020-05-15,-41.45,147.17,71,9,286.15,7.7
166,codrington,AU,2020-05-15,-38.27,141.97,55,0,287.27,0.32
167,shache,CN,2020-05-15,38.42,77.24,35,100,295.37,14.26
168,ekibastuz,KZ,2020-05-15,51.67,75.37,64,100,290.01,8.68
169,hami,CN,2020-05-15,42.8,93.45,14,0,303.12,1.69
170,parnamirim,BR,2020-05-15,-5.92,-35.26,100,75,297.15,1.5
171,bengkulu,ID,2020-05-15,-3.8,102.27,64,59,303.45,3.25
172,quatre cocos,MU,2020-05-15,-20.21,57.76,73,20,299.82,3.1
173,mehamn,NO,2020-05-15,71.04,27.85,80,40,275.15,7.2
174,brae,GB,2020-05-15,60.4,-1.35,87,93,279.15,0.5
175,hervey bay,AU,2020-05-15,-25.3,152.85,63,2,295.37,4.02
176,cap malheureux,MU,2020-05-15,-19.98,57.61,64,3,299.82,3.58
177,nouadhibou,MR,2020-05-15,20.93,-17.03,82,0,291.15,7.7
178,pisco,PE,2020-05-15,-13.7,-76.22,88,97,291.15,5.7
179,hithadhoo,MV,2020-05-15,-0.6,73.08,72,98,302.3,12.12
180,pacific grove,US,2020-05-15,36.62,-121.92,82,75,289.15,2.1
181,tautira,PF,2020-05-15,-17.73,-149.15,74,40,300.15,1.5
182,idlib,SY,2020-05-15,35.93,36.63,53,0,296.15,1.0
183,takaka,NZ,2020-05-15,-40.85,172.8,83,97,286.48,0.89
184,iqaluit,CA,2020-05-15,63.75,-68.51,79,5,269.15,1.0
185,sijunjung,ID,2020-05-15,-0.69,100.95,68,97,302.68,0.48
186,neiafu,TO,2020-05-15,-18.65,-173.98,83,20,299.15,4.06
187,casino,AU,2020-05-15,-28.87,153.05,40,10,295.15,4.1
188,faya,SA,2020-05-15,18.39,42.45,33,31,297.15,2.32
189,deputatskiy,RU,2020-05-15,69.3,139.9,100,100,274.01,0.78
190,granada,ES,2020-05-15,37.25,-3.25,93,75,282.04,1.0
191,caraquet,CA,2020-05-15,47.79,-64.94,51,1,277.15,2.1
192,carlos antonio lopez,PY,2020-05-15,-26.4,-54.77,92,0,280.81,1.21
193,bima,ID,2020-05-15,-8.47,118.72,60,100,304.63,3.04
194,salalah,OM,2020-05-15,17.02,54.09,70,20,304.15,1.0
195,hoquiam,US,2020-05-15,46.98,-123.89,81,1,285.15,1.5
196,saint-philippe,RE,2020-05-15,-21.36,55.77,47,24,300.15,1.0
197,araouane,ML,2020-05-15,18.9,-3.53,17,0,301.51,4.44
198,kovur,IN,2020-05-15,14.48,79.98,41,70,309.63,5.27
199,ghanzi,BW,2020-05-15,-21.57,21.78,34,0,287.22,3.31
200,lebu,CL,2020-05-15,-37.62,-73.65,97,93,287.2,2.36
201,olafsvik,IS,2020-05-15,64.89,-23.71,71,82,277.31,8.28
202,sorochinsk,RU,2020-05-15,52.43,53.16,49,35,286.96,0.57
203,lovington,US,2020-05-15,32.94,-103.35,19,1,294.82,2.1
204,popesti,RO,2020-05-15,47.23,22.42,76,100,284.26,4.6
205,san andres,CO,2020-05-15,12.58,-81.7,83,40,301.15,3.1
206,bonavista,CA,2020-05-15,48.65,-53.11,98,98,273.38,4.95
207,aksha,RU,2020-05-15,50.28,113.29,22,93,297.74,3.87
208,guerrero negro,MX,2020-05-15,27.98,-114.06,81,39,290.63,9.06
209,pula,HR,2020-05-15,44.87,13.85,82,20,291.15,3.6
210,torbay,CA,2020-05-15,47.67,-52.73,97,90,274.82,5.7
211,saint-augustin,CA,2020-05-15,51.23,-58.65,82,90,275.63,6.56
212,san patricio,MX,2020-05-15,19.22,-104.7,69,3,294.5,1.65
213,catamarca,AR,2020-05-15,-28.47,-65.79,75,16,285.37,3.7
214,rabo de peixe,PT,2020-05-15,37.8,-25.58,81,20,285.15,1.5
